rate_regime,stress_regime,n_rebalances,ic_mean,ic_std,icir,hit_rate,ann_return,ann_vol,sharpe,sortino,max_drawdown,cvar_95,mean_turnover,shap_stability_top5,shap_stability_top10
EASING,ALL,33,0.03922515985117602,0.21559675922469285,0.18193761349768686,0.59375,0.15437315333148272,0.12116909351155804,1.2740307685536776,4.020020354877273,-0.05906123003142979,-0.02932150465007094,0.0012252212608607703,0.5656249999999999,0.49204545454545445
EASING,CALM,23,0.020980361119290584,0.21702586352923764,0.09667216975023862,0.5909090909090909,0.2279248072332536,0.1308368507657645,1.7420536026299225,6.629969602583766,-0.03709318772667068,-0.020271897286643553,0.0009033824104478353,,
EASING,STRESS,10,0.11459802985027283,0.1989568915183662,0.5759942718028142,0.6666666666666666,0.18030360826457215,0.11409870046688134,1.5802424350740758,5.141729404884904,-0.05906123003142984,,0.0020999250923387828,,
NEUTRAL,ALL,11,0.2804803950467943,0.31817059585433155,0.8815409051036476,0.9,0.08389597922565661,0.03703666107515988,2.2652144332180315,3.9186780018880514,-0.013020697456467922,,0.09071635642301225,0.38590924232298035,0.40424984553640064
NEUTRAL,CALM,11,0.2804803950467943,0.31817059585433155,0.8815409051036476,0.9,0.08389597922565661,0.03703666107515988,2.2652144332180315,3.9186780018880514,-0.013020697456467922,,0.09071635642301225,,
TIGHTENING,ALL,64,0.14018849719644733,0.23767383607946826,0.5898356315062551,0.7301587301587301,0.07682929757485679,0.07621474361044402,1.0080634524935745,2.5705514774575944,-0.09275848399268699,-0.020498639151868614,0.004210461807028449,0.4074521232391089,0.37905619951629144
TIGHTENING,CALM,47,0.19455483439564591,0.22253539393165478,0.8742646774445135,0.8478260869565217,0.10669315911525956,0.09972004416706406,1.0699269139563679,3.864483200873814,-0.09275848399268699,-0.019835294104177364,0.004791247083956098,,
TIGHTENING,STRESS,17,-0.03538602941176471,0.19140879287117898,-0.1848714935242293,0.375,0.1873203841365827,0.11261731963074381,1.6633354865022505,5.577214193541042,-0.05642508596973448,,0.0027555868166584795,,
