K,pair_index,spearman
5,0,0.3
5,1,0.3
5,2,0.39999999999999997
5,3,0.6
5,4,0.49999999999999994
5,5,0.09999999999999999
5,6,0.6
5,7,0.8999999999999998
5,8,-0.19999999999999998
5,9,0.35909242322980395
5,10,-0.7
5,11,0.15389675281277312
5,12,-0.09999999999999999
5,13,0.7
5,14,-0.19999999999999998
5,15,-0.7999999999999999
5,16,-0.6
5,17,0.19999999999999998
5,18,0.6155870112510925
5,19,0.6
5,20,-0.09999999999999999
5,21,0.39999999999999997
5,22,0.3
5,23,0.6
5,24,0.7
5,25,0.8999999999999998
5,26,0.7
5,27,0.7
5,28,0.8999999999999998
5,29,0.09999999999999999
5,30,0.8999999999999998
5,31,-0.3
5,32,-0.09999999999999999
5,33,0.3
5,34,0.19999999999999998
5,35,0.0
5,36,0.49999999999999994
5,37,0.49999999999999994
5,38,0.19999999999999998
5,39,0.7
5,40,0.49999999999999994
5,41,0.0
5,42,0.9999999999999999
5,43,0.7999999999999999
5,44,0.7
5,45,0.6
5,46,0.7
5,47,0.3
5,48,0.0
5,49,0.7
5,50,0.8999999999999998
5,51,0.7999999999999999
5,52,0.6
5,53,-0.09999999999999999
5,54,0.9999999999999999
5,55,0.7
5,56,0.6
5,57,0.09999999999999999
5,58,0.49999999999999994
5,59,0.8999999999999998
5,60,-0.3
5,61,0.39999999999999997
5,62,0.19999999999999998
5,63,0.09999999999999999
5,64,0.9999999999999999
5,65,0.9999999999999999
5,66,0.39999999999999997
5,67,0.8999999999999998
5,68,0.7
5,69,0.9999999999999999
5,70,0.9999999999999999
5,71,0.39999999999999997
5,72,0.39999999999999997
5,73,-0.6
5,74,0.6
5,75,0.49999999999999994
5,76,0.8999999999999998
5,77,0.39999999999999997
5,78,0.9999999999999999
5,79,0.49999999999999994
5,80,0.09999999999999999
5,81,0.9999999999999999
5,82,0.49999999999999994
5,83,0.7
5,84,0.8999999999999998
5,85,0.8999999999999998
5,86,0.19999999999999998
5,87,0.3
5,88,0.7
5,89,0.6
5,90,0.7
5,91,-0.09999999999999999
5,92,0.8999999999999998
5,93,0.8999999999999998
5,94,0.9999999999999999
5,95,0.7
5,96,0.7999999999999999
5,97,0.7
5,98,0.7
5,99,-0.09999999999999999
5,100,0.09999999999999999
5,101,0.6
5,102,0.19999999999999998
5,103,-0.49999999999999994
5,104,0.09999999999999999
5,105,0.7
5,106,0.09999999999999999
10,0,0.5269595033124054
10,1,0.3696969696969697
10,2,0.12727272727272726
10,3,0.6969696969696969
10,4,0.18845071854082002
10,5,0.5030303030303029
10,6,0.3696969696969697
10,7,0.5151515151515151
10,8,0.8060606060606059
10,9,-0.06079055436800646
10,10,0.309090909090909
10,11,-0.08510677611520905
10,12,-0.24848484848484845
10,13,-0.22424242424242422
10,14,0.7333333333333332
10,15,0.24316221747202585
10,16,-0.33333333333333326
10,17,0.4545454545454545
10,18,-0.15197638592001614
10,19,0.7333333333333332
10,20,0.7454545454545454
10,21,-0.2606060606060606
10,22,0.09090909090909088
10,23,0.8424242424242423
10,24,0.7575757575757575
10,25,0.12727272727272726
10,26,0.8545454545454544
10,27,0.6848484848484848
10,28,0.8787878787878788
10,29,0.32121212121212117
10,30,0.6606060606060605
10,31,0.709090909090909
10,32,0.23636363636363633
10,33,0.33333333333333326
10,34,-0.05454545454545454
10,35,0.6363636363636362
10,36,0.34545454545454546
10,37,0.6242424242424242
10,38,0.5714312110592608
10,39,0.11515151515151514
10,40,0.5030303030303029
10,41,0.18787878787878787
10,42,0.4787878787878787
10,43,0.5878787878787878
10,44,0.8545454545454544
10,45,0.9272727272727272
10,46,0.8909090909090909
10,47,0.38181818181818183
10,48,0.07878787878787878
10,49,0.1515151515151515
10,50,0.6848484848484848
10,51,0.6121212121212121
10,52,0.4545454545454545
10,53,-0.04242424242424241
10,54,0.19999999999999998
10,55,0.6242424242424242
10,56,0.4787878787878787
10,57,-0.09090909090909088
10,58,0.7333333333333332
10,59,0.41818181818181815
10,60,-0.2727272727272727
10,61,0.16363636363636364
10,62,0.5272727272727272
10,63,0.2121212121212121
10,64,0.32121212121212117
10,65,0.6484848484848483
10,66,0.29696969696969694
10,67,0.4424242424242424
10,68,0.8666666666666665
10,69,0.5393939393939393
10,70,0.6969696969696969
10,71,-0.09090909090909088
10,72,0.4666666666666666
10,73,-0.28484848484848485
10,74,0.43030303030303024
10,75,0.7696969696969697
10,76,0.7818181818181817
10,77,0.35757575757575755
10,78,0.5393939393939393
10,79,0.8303030303030302
10,80,0.3696969696969697
10,81,0.8545454545454544
10,82,0.5757575757575757
10,83,0.29696969696969694
10,84,0.43030303030303024
10,85,0.6363636363636362
10,86,0.07878787878787878
10,87,0.33333333333333326
10,88,0.35757575757575755
10,89,-0.06666666666666665
10,90,0.49090909090909085
10,91,0.23636363636363633
10,92,0.49090909090909085
10,93,0.8787878787878788
10,94,0.9878787878787878
10,95,0.9272727272727272
10,96,0.9151515151515152
10,97,0.9030303030303028
10,98,0.6969696969696969
10,99,0.05454545454545454
10,100,0.8060606060606059
10,101,0.006060606060606061
10,102,0.4666666666666666
10,103,0.49090909090909085
10,104,0.49090909090909085
10,105,0.6727272727272726
10,106,0.3939393939393939
all,0,0.49533249606064755
all,1,0.4666044148254335
all,2,0.5172948546876173
all,3,0.6470588235294118
all,4,0.4948199338970288
all,5,0.1908739367653109
all,6,0.48194014447884415
all,7,0.5067079463364293
all,8,0.9112487100103198
all,9,0.16372110142278415
all,10,0.09281005112501776
all,11,-0.011410941871839239
all,12,0.5670937426882552
all,13,0.06778262160815904
all,14,-0.08152734778121776
all,15,0.29094386813348266
all,16,0.1428649101587352
all,17,0.3126934984520124
all,18,0.2995777353186939
all,19,0.5749790218221951
all,20,0.7027863777089782
all,21,-0.19711042311661509
all,22,-0.013415892672858616
all,23,0.6924664602683178
all,24,0.5356037151702786
all,25,0.47781217750258
all,26,0.8286893704850361
all,27,0.8761609907120743
all,28,0.869969040247678
all,29,0.7874097007223942
all,30,0.6367389060887513
all,31,0.5851393188854489
all,32,0.6924664602683178
all,33,0.4633642930856553
all,34,-0.0196078431372549
all,35,0.7729618163054695
all,36,0.1847265221878225
all,37,0.4220846233230134
all,38,0.39731044358013223
all,39,0.5057626381531868
all,40,0.4532783257641996
all,41,-0.1404233537674969
all,42,0.08978328173374613
all,43,0.44398560382370345
all,44,0.8680817490350494
all,45,0.5700989794020409
all,46,0.6577182084551141
