date,price
2018-06-07,103.53
2018-06-08,104.94
2018-06-11,106.14
2018-06-12,107.25
2018-06-13,108.18
2018-06-14,111.33
2018-06-15,111.39
2018-06-18,110.07
2018-06-19,109.45
2018-06-20,109.44
2018-06-21,108.56
2018-06-22,109.57
2018-06-25,109.41
2018-06-26,109.3
2018-06-27,110.79
2018-06-28,110.66
2018-06-29,111.44
2018-07-02,108.7
2018-07-03,108.56
2018-07-04,108.53
2018-07-05,111.99
2018-07-06,113.28
2018-07-09,115.7
2018-07-10,114.14
2018-07-11,114.55
2018-07-12,112.63
2018-07-13,111.66
2018-07-16,112.07
2018-07-17,110.94
2018-07-18,111.02
2018-07-19,108.79
2018-07-20,107.71
2018-07-23,107.25
2018-07-24,107.87
2018-07-25,108.05
2018-07-26,106.89
2018-07-27,106.89
2018-07-30,107.26
2018-07-31,107.37
2018-08-01,106.3
2018-08-02,105.7
2018-08-03,105.99
2018-08-06,105.99
2018-08-07,108.94
2018-08-08,109.56
2018-08-09,107.48
2018-08-10,105.63
2018-08-13,106.47
2018-08-14,107.22
2018-08-15,105.96
2018-08-16,105.13
2018-08-17,105.99
2018-08-20,107.65
2018-08-21,110.4
2018-08-22,110.48
2018-08-23,107.92
2018-08-24,108.7
2018-08-27,109.9
2018-08-28,110.25
2018-08-29,111.39
2018-08-30,109.28
2018-08-31,108.24
2018-09-03,108.52
2018-09-04,106.61
2018-09-05,103.41
2018-09-06,104.8
2018-09-07,106.07
2018-09-10,105.88
2018-09-11,105.19
2018-09-12,108.28
2018-09-13,108.28
2018-09-14,105.83
2018-09-17,105.02
2018-09-18,105.4
2018-09-19,105.39
2018-09-20,105.58
2018-09-21,105.18
2018-09-24,105.47
2018-09-25,105.31
2018-09-26,103.94
2018-09-27,103.47
2018-09-28,101.72
2018-10-01,102.8
2018-10-02,102.54
2018-10-03,100.0
2018-10-04,99.23
2018-10-05,98.69
2018-10-08,101.45
2018-10-09,101.11
2018-10-10,99.66
2018-10-11,98.6
2018-10-12,97.84
2018-10-15,97.84
2018-10-16,99.25
2018-10-17,96.45
2018-10-18,95.0
2018-10-19,96.35
2018-10-22,94.65
2018-10-23,94.09
2018-10-24,92.34
2018-10-25,93.51
2018-10-26,92.48
2018-10-29,91.08
2018-10-30,93.57
2018-10-31,96.21
2018-11-01,100.41
2018-11-05,102.26
2018-11-06,100.84
2018-11-07,101.99
2018-11-08,97.09
2018-11-09,97.05
2018-11-12,94.98
2018-11-13,92.82
2018-11-14,91.92
2018-11-15,90.49
2018-11-16,92.37
2018-11-20,91.07
2018-11-21,90.66
2018-11-22,90.89
2018-11-23,89.75
2018-11-26,86.2
2018-11-27,87.21
2018-11-28,89.29
2018-11-29,92.69
2018-11-30,90.68
2018-12-03,91.3
2018-12-04,91.3
2018-12-05,91.77
2018-12-06,92.41
2018-12-07,91.9
2018-12-10,91.05
2018-12-11,90.07
2018-12-13,93.01
2018-12-14,93.06
2018-12-17,90.02
2018-12-18,91.27
2018-12-19,91.72
2018-12-20,91.33
2018-12-21,89.78
2018-12-24,89.19
2018-12-26,89.09
2018-12-27,88.38
2018-12-28,88.94
2018-12-31,88.89
2019-01-02,91.11
2019-01-03,89.97
2019-01-04,90.02
2019-01-07,90.72
2019-01-08,93.71
2019-01-09,94.14
2019-01-10,93.01
2019-01-11,91.57
2019-01-14,92.77
2019-01-15,92.48
2019-01-16,92.73
2019-01-17,92.97
2019-01-18,93.53
2019-01-21,93.98
2019-01-22,93.29
2019-01-23,92.57
2019-01-24,91.94
2019-01-25,92.9
2019-01-28,93.01
2019-01-29,92.78
2019-01-30,92.25
2019-01-31,94.06
2019-02-01,95.01
2019-02-05,95.83
2019-02-06,94.22
2019-02-07,93.88
2019-02-08,93.37
2019-02-11,93.55
2019-02-12,93.19
2019-02-13,89.34
2019-02-14,88.88
2019-02-15,90.63
2019-02-18,89.32
2019-02-19,89.17
2019-02-20,90.28
2019-02-21,91.11
2019-02-22,88.94
2019-02-25,88.14
2019-02-26,88.51
2019-02-27,87.47
2019-02-28,86.79
2019-03-01,86.29
2019-03-04,85.29
2019-03-05,83.29
2019-03-06,81.91
2019-03-07,83.44
2019-03-08,83.98
2019-03-11,84.89
2019-03-12,85.83
2019-03-13,86.16
2019-03-14,85.61
2019-03-15,85.87
2019-03-19,85.81
2019-03-20,87.88
2019-03-21,87.99
2019-03-22,86.3
2019-03-25,85.15
2019-03-26,85.53
2019-03-27,85.77
2019-03-28,84.65
2019-03-29,86.07
2019-04-01,87.47
2019-04-02,85.25
2019-04-03,85.47
2019-04-04,87.05
2019-04-05,89.68
2019-04-08,90.57
2019-04-09,90.42
2019-04-10,90.66
2019-04-11,89.35
2019-04-12,87.93
2019-04-15,88.1
2019-04-16,89.19
2019-04-17,89.72
2019-04-22,88.94
2019-04-23,87.64
2019-04-24,88.14
2019-04-25,88.67
2019-04-26,88.56
2019-04-29,88.25
2019-04-30,84.99
2019-05-02,84.71
2019-05-03,84.22
2019-05-06,82.89
2019-05-07,81.31
2019-05-08,80.14
2019-05-09,80.99
2019-05-10,80.71
2019-05-13,79.71
2019-05-14,80.74
2019-05-15,81.47
2019-05-16,82.36
2019-05-17,82.86
2019-05-20,82.55
2019-05-21,81.67
2019-05-22,81.31
2019-05-23,81.08
2019-05-24,81.32
2019-05-27,81.2
2019-05-28,80.73
2019-05-29,82.56
2019-05-30,83.49
2019-05-31,82.5
2019-06-03,84.56
2019-06-04,85.02
2019-06-05,85.92
2019-06-06,84.86
2019-06-07,85.54
2019-06-10,84.93
2019-06-11,85.23
2019-06-12,84.77
2019-06-13,83.73
2019-06-14,82.2
2019-06-17,82.03
2019-06-18,82.92
2019-06-19,83.93
2019-06-20,85.12
2019-06-21,84.91
2019-06-24,85.21
2019-06-25,83.99
2019-06-26,84.22
2019-06-27,82.13
2019-06-28,81.52
2019-07-01,82.53
2019-07-02,82.57
2019-07-03,82.88
2019-07-04,82.59
2019-07-05,82.99
2019-07-08,83.25
2019-07-09,82.45
2019-07-10,83.48
2019-07-11,83.37
2019-07-12,82.66
2019-07-15,84.13
2019-07-16,83.37
2019-07-17,85.55
2019-07-18,83.74
2019-07-19,83.52
2019-07-22,82.82
2019-07-23,82.45
2019-07-24,81.95
2019-07-25,81.14
2019-07-26,80.38
2019-07-29,82.11
2019-07-30,81.95
2019-07-31,80.89
2019-08-01,80.48
2019-08-02,79.89
2019-08-05,78.19
2019-08-06,79.69
2019-08-07,82.15
2019-08-08,82.14
2019-08-09,80.65
2019-08-12,78.83
2019-08-13,77.93
2019-08-14,76.06
2019-08-15,75.09
2019-08-16,76.65
2019-08-19,76.58
2019-08-20,76.37
2019-08-21,77.05
2019-08-22,77.26
2019-08-23,76.86
2019-08-26,77.48
2019-08-27,80.04
2019-08-28,80.98
2019-08-29,83.1
2019-08-30,85.91
2019-09-02,84.22
2019-09-03,83.63
2019-09-04,84.57
2019-09-05,83.7
2019-09-06,83.54
2019-09-09,83.6
2019-09-10,83.23
2019-09-11,83.86
2019-09-12,83.3
2019-09-13,84.98
2019-09-17,87.64
2019-09-18,87.66
2019-09-19,88.11
2019-09-20,89.03
2019-09-23,88.44
2019-09-24,86.93
2019-09-25,87.47
2019-09-26,86.6
2019-09-27,85.59
2019-09-30,86.99
2019-10-01,87.43
2019-10-02,85.53
2019-10-03,85.57
2019-10-04,88.35
2019-10-07,87.48
2019-10-08,86.99
2019-10-09,86.86
2019-10-10,88.69
2019-10-11,89.52
2019-10-14,89.9
2019-10-15,89.42
2019-10-16,91.87
2019-10-17,92.2
2019-10-18,92.05
2019-10-21,92.84
2019-10-22,92.2
2019-10-23,92.83
2019-10-24,92.89
2019-10-25,93.48
2019-10-28,93.93
2019-10-29,93.09
2019-10-30,92.47
2019-10-31,91.23
2019-11-01,92.62
2019-11-04,93.6
2019-11-05,92.58
2019-11-06,92.89
2019-11-07,92.85
2019-11-08,92.15
2019-11-11,92.25
2019-11-12,91.38
2019-11-13,91.52
2019-11-14,92.13
2019-11-15,91.78
2019-11-19,90.93
2019-11-20,91.7
2019-11-21,91.22
2019-11-22,91.56
2019-11-25,91.84
2019-11-26,90.34
2019-11-27,90.48
2019-11-28,90.54
2019-11-29,89.97
2019-12-02,88.73
2019-12-03,87.77
2019-12-04,88.06
2019-12-05,88.09
2019-12-06,87.74
2019-12-09,87.35
2019-12-10,88.23
2019-12-11,89.71
2019-12-13,91.58
2019-12-16,90.99
2019-12-17,90.07
2019-12-18,92.28
2019-12-19,92.15
2019-12-20,91.97
2019-12-23,92.41
2019-12-24,92.15
2019-12-26,92.77
2019-12-27,93.21
