date,price
2018-07-27,100.91
2018-07-30,101.49
2018-07-31,101.62
2018-08-01,100.98
2018-08-02,99.92
2018-08-03,101.35
2018-08-06,101.42
2018-08-07,101.32
2018-08-08,100.45
2018-08-09,98.79
2018-08-10,97.6
2018-08-13,97.74
2018-08-14,98.7
2018-08-15,96.17
2018-08-16,93.19
2018-08-17,93.68
2018-08-20,94.67
2018-08-21,95.85
2018-08-22,97.3
2018-08-23,97.03
2018-08-24,97.53
2018-08-27,100.09
2018-08-28,98.32
2018-08-29,99.15
2018-08-30,98.67
2018-08-31,98.47
2018-09-03,97.43
2018-09-04,96.96
2018-09-05,95.98
2018-09-06,95.83
2018-09-07,96.25
2018-09-10,95.7
2018-09-11,94.82
2018-09-12,95.74
2018-09-13,96.11
2018-09-14,96.17
2018-09-17,95.82
2018-09-18,96.85
2018-09-19,96.63
2018-09-20,96.05
2018-09-21,97.32
2018-09-24,97.3
2018-09-25,97.7
2018-09-26,97.14
2018-09-27,96.91
2018-09-28,95.99
2018-10-01,96.86
2018-10-02,96.39
2018-10-03,95.17
2018-10-04,94.32
2018-10-05,92.22
2018-10-08,91.13
2018-10-09,91.94
2018-10-10,90.63
2018-10-11,90.11
2018-10-12,90.67
2018-10-15,91.39
2018-10-16,92.2
2018-10-17,90.31
2018-10-18,87.34
2018-10-19,86.9
2018-10-22,85.5
2018-10-23,84.48
2018-10-24,83.65
2018-10-25,83.1
2018-10-26,82.44
2018-10-29,78.57
2018-10-30,78.85
2018-10-31,80.02
2018-11-01,83.19
2018-11-05,85.13
2018-11-06,84.53
2018-11-07,86.11
2018-11-08,82.35
2018-11-09,81.59
2018-11-12,79.41
2018-11-13,78.2
2018-11-14,77.51
2018-11-15,76.22
2018-11-16,77.62
2018-11-20,75.11
2018-11-21,72.4
2018-11-22,69.83
2018-11-23,71.04
2018-11-26,68.51
2018-11-27,70.29
2018-11-28,73.26
2018-11-29,75.53
2018-11-30,75.58
2018-12-03,75.86
2018-12-04,74.19
2018-12-05,74.74
2018-12-06,75.14
2018-12-07,76.35
2018-12-10,74.64
2018-12-11,73.28
2018-12-13,72.68
2018-12-14,72.82
2018-12-17,71.64
2018-12-18,71.68
2018-12-19,71.43
2018-12-20,71.63
2018-12-21,72.0
2018-12-24,71.78
2018-12-26,72.37
2018-12-27,72.59
2018-12-28,72.35
2018-12-31,72.36
2019-01-02,73.71
2019-01-03,72.9
2019-01-04,74.64
2019-01-07,75.93
2019-01-08,76.98
2019-01-09,77.25
2019-01-10,77.3
2019-01-11,76.87
2019-01-14,76.57
2019-01-15,75.86
2019-01-16,77.43
2019-01-17,77.57
2019-01-18,78.58
2019-01-21,78.0
2019-01-22,77.32
2019-01-23,76.59
2019-01-24,77.04
2019-01-25,77.49
2019-01-28,77.69
2019-01-29,77.45
2019-01-30,78.45
2019-01-31,78.79
2019-02-01,78.21
2019-02-05,79.65
2019-02-06,78.08
2019-02-07,76.29
2019-02-08,74.62
2019-02-11,74.15
2019-02-12,74.41
2019-02-13,73.88
2019-02-14,75.37
2019-02-15,75.76
2019-02-18,75.81
2019-02-19,76.99
2019-02-20,78.54
2019-02-21,78.73
2019-02-22,79.94
2019-02-25,80.24
2019-02-26,79.79
2019-02-27,79.25
2019-02-28,77.37
2019-03-01,76.9
2019-03-04,75.91
2019-03-05,75.58
2019-03-06,75.53
