date,price
2018-07-27,94.12
2018-07-30,93.97
2018-07-31,93.37
2018-08-01,93.94
2018-08-02,92.94
2018-08-03,94.03
2018-08-06,93.43
2018-08-07,94.55
2018-08-08,93.49
2018-08-09,93.48
2018-08-10,92.59
2018-08-13,93.36
2018-08-14,94.52
2018-08-15,93.33
2018-08-16,92.15
2018-08-17,91.15
2018-08-20,92.19
2018-08-21,92.89
2018-08-22,95.12
2018-08-23,94.84
2018-08-24,95.15
2018-08-27,96.53
2018-08-28,96.99
2018-08-29,97.84
2018-08-30,97.6
2018-08-31,97.25
2018-09-03,97.37
2018-09-04,95.7
2018-09-05,95.96
2018-09-06,96.9
2018-09-07,97.35
2018-09-10,97.19
2018-09-11,97.48
2018-09-12,98.91
2018-09-13,99.37
2018-09-14,98.69
2018-09-17,97.38
2018-09-18,98.26
2018-09-19,98.23
2018-09-20,98.28
2018-09-21,97.45
2018-09-24,96.99
2018-09-25,96.68
2018-09-26,97.16
2018-09-27,97.83
2018-09-28,97.95
2018-10-01,98.61
2018-10-02,97.81
2018-10-03,97.57
2018-10-04,96.81
2018-10-05,95.7
2018-10-08,95.09
2018-10-09,96.51
2018-10-10,95.45
2018-10-11,92.94
2018-10-12,93.45
2018-10-15,93.97
2018-10-16,94.89
2018-10-17,93.76
2018-10-18,92.25
2018-10-19,93.63
2018-10-22,93.68
2018-10-23,91.73
2018-10-24,89.96
2018-10-25,90.74
2018-10-26,90.12
2018-10-29,86.73
2018-10-30,84.41
2018-10-31,85.65
2018-11-01,88.15
2018-11-05,90.83
2018-11-06,89.53
2018-11-07,89.2
2018-11-08,84.86
2018-11-09,84.02
2018-11-12,83.49
2018-11-13,81.42
2018-11-14,80.08
2018-11-15,79.42
2018-11-16,80.45
2018-11-20,79.27
2018-11-21,78.85
2018-11-22,78.17
2018-11-23,77.33
2018-11-26,75.28
2018-11-27,75.36
2018-11-28,77.08
2018-11-29,77.9
2018-11-30,77.69
2018-12-03,78.78
2018-12-04,78.81
2018-12-05,79.48
2018-12-06,80.03
2018-12-07,80.39
2018-12-10,79.64
2018-12-11,79.03
2018-12-13,80.25
2018-12-14,79.53
2018-12-17,79.38
2018-12-18,80.3
2018-12-19,81.58
2018-12-20,83.1
2018-12-21,84.13
2018-12-24,84.04
2018-12-26,83.97
2018-12-27,84.38
2018-12-28,84.15
2018-12-31,83.62
2019-01-02,85.18
2019-01-03,85.0
2019-01-04,86.96
2019-01-07,87.97
2019-01-08,89.94
2019-01-09,89.3
2019-01-10,90.31
2019-01-11,89.68
2019-01-14,88.62
2019-01-15,90.54
2019-01-16,90.8
2019-01-17,91.3
2019-01-18,91.99
2019-01-21,90.83
2019-01-22,90.29
2019-01-23,90.57
